# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.324134193463475828e+00 1.324134193463475828e+00
1.000000000000000000e+03 1.231479357238264571e-01 1.231479357238264571e-01
2.000000000000000000e+03 4.604978003408177756e-02 4.604978003408177756e-02
3.000000000000000000e+03 2.024205595726974449e-02 2.024205595726974449e-02
4.000000000000000000e+03 8.814431609343035406e-03 8.814431609343035406e-03
5.000000000000000000e+03 4.854319637202417735e-03 4.854319637202417735e-03
6.000000000000000000e+03 4.099686571635640688e-03 4.099686571635640688e-03
7.000000000000000000e+03 2.678484568149885284e-03 2.678484568149885284e-03
8.000000000000000000e+03 2.302570588105243635e-03 2.302570588105243635e-03
9.000000000000000000e+03 2.346264140599288537e-03 2.346264140599288537e-03
1.000000000000000000e+04 1.594982298026122007e-03 1.594982298026122007e-03
1.100000000000000000e+04 1.350651797837026935e-03 1.350651797837026935e-03
1.200000000000000000e+04 8.122799236788832240e-04 8.122799236788832240e-04
1.300000000000000000e+04 7.895375441796522809e-04 7.895375441796522809e-04
1.400000000000000000e+04 6.947495195504274591e-04 6.947495195504274591e-04
1.500000000000000000e+04 5.332863478551153752e-03 5.332863478551153752e-03
1.500000000000000000e+04 5.332863478551153752e-03 5.332863478551153752e-03
1.600000000000000000e+04 4.674533071738671105e-05 4.674533071738671105e-05
1.700000000000000000e+04 1.769599041582318232e-05 1.769599041582318232e-05
1.800000000000000000e+04 9.305088995709647655e-06 9.305088995709647655e-06
1.900000000000000000e+04 5.582419569897675625e-06 5.582419569897675625e-06
2.000000000000000000e+04 3.243464500381501018e-06 3.243464500381501018e-06
2.100000000000000000e+04 1.837222756900653019e-06 1.837222756900653019e-06
2.200000000000000000e+04 1.270460071734385455e-06 1.270460071734385455e-06
2.300000000000000000e+04 9.951407774535116197e-07 9.951407774535116197e-07
2.400000000000000000e+04 8.241448613181684161e-07 8.241448613181684161e-07
2.500000000000000000e+04 7.115930090636157123e-07 7.115930090636157123e-07
2.600000000000000000e+04 6.078851413156611500e-07 6.078851413156611500e-07
2.700000000000000000e+04 5.383818210091599422e-07 5.383818210091599422e-07
2.800000000000000000e+04 4.742963034225231569e-07 4.742963034225231569e-07
2.900000000000000000e+04 4.125469259494996222e-07 4.125469259494996222e-07
3.000000000000000000e+04 3.611729586223298044e-07 3.611729586223298044e-07
3.100000000000000000e+04 3.249737063289423080e-07 3.249737063289423080e-07
3.127400000000000000e+04 3.163400569699004533e-07 3.163400569699004533e-07
